,fid,DN,geometry
21,23.0,1,"POLYGON ((37.55491781692094 47.21441333333333, 37.55508448543689 47.21441333333333, 37.55508448543689 47.21424666666667, 37.55541782246879 47.21424666666667, 37.55541782246879 47.21441333333333, 37.55583449375867 47.21441333333333, 37.55583449375867 47.21424666666667, 37.55600116227462 47.21424666666667, 37.55600116227462 47.21399666666667, 37.55583449375867 47.21399666666667, 37.55583449375867 47.21349666666667, 37.555251153952845 47.21349666666667, 37.555251153952845 47.21333, 37.554584479889044 47.21333, 37.554584479889044 47.213663333333336, 37.554751148404996 47.213663333333336, 37.554751148404996 47.21383, 37.55491781692094 47.21383, 37.55491781692094 47.21441333333333))"
22,24.0,1,"POLYGON ((37.56066788072122 47.21333, 37.56100121775312 47.21333, 37.56100121775312 47.213163333333334, 37.56066788072122 47.213163333333334, 37.56066788072122 47.21333))"
23,25.0,1,"POLYGON ((37.55975120388349 47.213163333333334, 37.5600845409154 47.213163333333334, 37.5600845409154 47.21299666666667, 37.55975120388349 47.21299666666667, 37.55975120388349 47.213163333333334))"
24,26.0,1,"POLYGON ((37.5660846074896 47.21333, 37.566251276005545 47.21333, 37.566251276005545 47.213163333333334, 37.56658461303745 47.213163333333334, 37.56658461303745 47.21299666666667, 37.5664179445215 47.21299666666667, 37.5664179445215 47.21274666666667, 37.56566793619972 47.21274666666667, 37.56566793619972 47.21258, 37.565167930651874 47.21258, 37.565167930651874 47.21274666666667, 37.56550126768377 47.21274666666667, 37.56550126768377 47.21299666666667, 37.5660846074896 47.21299666666667, 37.5660846074896 47.21333))"
25,27.0,1,"POLYGON ((37.56100121775312 47.21241333333334, 37.5617512260749 47.21241333333334, 37.5617512260749 47.21208, 37.5624179001387 47.21208, 37.5624179001387 47.211913333333335, 37.56141788904299 47.211913333333335, 37.56141788904299 47.211663333333334, 37.56066788072122 47.211663333333334, 37.56066788072122 47.21208, 37.56100121775312 47.21208, 37.56100121775312 47.21241333333334))"
26,28.0,1,"POLYGON ((37.55241778918169 47.21208, 37.55258445769764 47.21208, 37.55258445769764 47.211913333333335, 37.55275112621359 47.211913333333335, 37.55275112621359 47.21149666666667, 37.55150111234396 47.21149666666667, 37.55150111234396 47.211663333333334, 37.55133444382802 47.211663333333334, 37.55133444382802 47.211913333333335, 37.55241778918169 47.211913333333335, 37.55241778918169 47.21208))"
27,29.0,1,"POLYGON ((37.64850218862691 47.211913333333335, 37.64866885714286 47.211913333333335, 37.64866885714286 47.211663333333334, 37.64850218862691 47.211663333333334, 37.64850218862691 47.211913333333335))"
28,30.0,1,"POLYGON ((37.553334466019415 47.21208, 37.55366780305132 47.21208, 37.55366780305132 47.211913333333335, 37.55383447156727 47.211913333333335, 37.55383447156727 47.211663333333334, 37.55366780305132 47.211663333333334, 37.55366780305132 47.211330000000004, 37.55350113453537 47.211330000000004, 37.55350113453537 47.21149666666667, 37.55308446324549 47.21149666666667, 37.55308446324549 47.211663333333334, 37.553334466019415 47.211663333333334, 37.553334466019415 47.21208))"
29,31.0,1,"POLYGON ((37.559251198335645 47.21208, 37.55958453536755 47.21208, 37.55958453536755 47.211913333333335, 37.55975120388349 47.211913333333335, 37.55975120388349 47.21208, 37.559917872399446 47.21208, 37.559917872399446 47.211913333333335, 37.5600845409154 47.211913333333335, 37.5600845409154 47.211663333333334, 37.559917872399446 47.211663333333334, 37.559917872399446 47.21149666666667, 37.55975120388349 47.21149666666667, 37.55975120388349 47.211330000000004, 37.5594178668516 47.211330000000004, 37.5594178668516 47.21149666666667, 37.55908452981969 47.21149666666667, 37.55908452981969 47.211663333333334, 37.559251198335645 47.211663333333334, 37.559251198335645 47.21208))"
30,32.0,1,"POLYGON ((37.56316790846047 47.21099666666667, 37.56350124549237 47.21099666666667, 37.56350124549237 47.21083, 37.56316790846047 47.21083, 37.56316790846047 47.21099666666667))"
31,33.0,1,"POLYGON ((37.562084563106794 47.21116333333334, 37.562251231622746 47.21116333333334, 37.562251231622746 47.21099666666667, 37.5624179001387 47.21099666666667, 37.5624179001387 47.21058, 37.56266790291262 47.21058, 37.56266790291262 47.210413333333335, 37.562084563106794 47.210413333333335, 37.562084563106794 47.21116333333334))"
32,34.0,1,"POLYGON ((37.55025109847434 47.21116333333334, 37.55075110402219 47.21116333333334, 37.55075110402219 47.21099666666667, 37.551001106796114 47.21099666666667, 37.551001106796114 47.21083, 37.55116777531207 47.21083, 37.55116777531207 47.21058, 37.55025109847434 47.21058, 37.55025109847434 47.21083, 37.55008442995839 47.21083, 37.55008442995839 47.21099666666667, 37.55025109847434 47.21099666666667, 37.55025109847434 47.21116333333334))"
33,35.0,1,"POLYGON ((37.55183444937587 47.21099666666667, 37.55258445769764 47.21099666666667, 37.55258445769764 47.21083, 37.55241778918169 47.21083, 37.55241778918169 47.21058, 37.55258445769764 47.21058, 37.55258445769764 47.210413333333335, 37.552251120665744 47.210413333333335, 37.552251120665744 47.21058, 37.55183444937587 47.21058, 37.55183444937587 47.21099666666667))"
34,36.0,1,"POLYGON ((37.55275112621359 47.21058, 37.552917794729545 47.21058, 37.552917794729545 47.210413333333335, 37.55275112621359 47.210413333333335, 37.55275112621359 47.21058))"
35,37.0,1,"POLYGON ((37.546501056865466 47.210413333333335, 37.54683439389736 47.210413333333335, 37.54683439389736 47.210080000000005, 37.546501056865466 47.210080000000005, 37.546501056865466 47.210413333333335))"
